,customer_id,event,time,offer id,reward
12658,9fa9ae8f57894cc9a3b8a9bbe0fc1b2f,offer completed,0,2906b810c7d4411798c6938adc9daaa5,2
12672,fe97aa22dd3e48c8b143116a8403dd52,offer completed,0,fafdcd668e3743c1bb461111dcafc2a4,2
12679,629fc02d56414d91bca360decdfa9288,offer completed,0,9b98b8c7a33c4b65b9aebfe6a799e6d9,5
12692,676506bad68e4161b9bbaffeb039626b,offer completed,0,ae264e3637204a6fb9bb56bc8210ddfd,0
12697,8f7dd3b2afe14c078eb4f6e6fe4ba97d,offer completed,0,4d5c57ea9a6940dd891ad53e9dbe8da0,0
12717,227f2d69e46a4899b70d48182822cff6,offer completed,0,4d5c57ea9a6940dd891ad53e9dbe8da0,0
12721,bb0f25e23a4c4de6a645527c275cd594,offer completed,0,2298d6c36e964ae4a3e7e9706d1fb8c2,3
12744,d72d201be5794279aa716d8ad82b8d90,offer completed,0,f19421c1d4aa40978ebb69ca19b0e20d,5
12764,73ffefd41e9a4ca3ab26b2b3697c6eb7,offer completed,0,2906b810c7d4411798c6938adc9daaa5,2
12767,3e621194f72e40d7a0b695ee9b7c38b7,offer completed,0,4d5c57ea9a6940dd891ad53e9dbe8da0,0
12780,b860d355ef6e4c66b5d5a837c56ef32d,offer completed,0,9b98b8c7a33c4b65b9aebfe6a799e6d9,5
12784,99297ea01107436fa8c2e2bc86f55d89,offer completed,0,9b98b8c7a33c4b65b9aebfe6a799e6d9,5
12786,24115a61df25473e84a8a03f3c98de1a,offer completed,0,2906b810c7d4411798c6938adc9daaa5,2
12798,afce4cf8194f4e90a3e92da941a23601,offer completed,0,ae264e3637204a6fb9bb56bc8210ddfd,0
12817,a2ffc22184d94d6fa21b924eb49c0d06,offer completed,0,2298d6c36e964ae4a3e7e9706d1fb8c2,3
12826,2481f1fcfbcb4b288e5a03af02d95373,offer completed,0,2906b810c7d4411798c6938adc9daaa5,2
12835,c3321bc76743445c9103eef0ce9d833b,offer completed,0,2298d6c36e964ae4a3e7e9706d1fb8c2,3
12841,162e7d9c644b438ea4606e337df0d3d1,offer completed,0,2298d6c36e964ae4a3e7e9706d1fb8c2,3
12862,de90515e9f174ddfb8b4c677448286ef,offer completed,0,ae264e3637204a6fb9bb56bc8210ddfd,0
12865,5152fa6375184287b06e2fd0d5abed34,offer completed,0,f19421c1d4aa40978ebb69ca19b0e20d,5
12900,5d048a36203c483facb5ed09983ab388,offer completed,0,4d5c57ea9a6940dd891ad53e9dbe8da0,0
12936,16dc4306258b4fef90ffe99f53ed7952,offer completed,0,9b98b8c7a33c4b65b9aebfe6a799e6d9,5
12943,2c9a9137efff4820a47d56dbf0fa555f,offer completed,0,f19421c1d4aa40978ebb69ca19b0e20d,5
12972,bf7a630d566f46f79b855990daf2d0b0,offer completed,0,2298d6c36e964ae4a3e7e9706d1fb8c2,3
12988,3b78a727167b432d8e1935227b286def,offer completed,0,fafdcd668e3743c1bb461111dcafc2a4,2
12997,6d11a027be6c4fac98d27eec516ad2f6,offer completed,0,fafdcd668e3743c1bb461111dcafc2a4,2
13021,0454292436bd4cee98e8ec873e30433e,offer completed,0,9b98b8c7a33c4b65b9aebfe6a799e6d9,5
13036,60b8a75638d2461b988ba4f089f8ad24,offer completed,0,9b98b8c7a33c4b65b9aebfe6a799e6d9,5
13043,9299c46942f84bb6b5e98fd78fbb9d41,offer completed,0,fafdcd668e3743c1bb461111dcafc2a4,2
13056,69d148898a80483babb0f9b2f2cccf5a,offer completed,0,f19421c1d4aa40978ebb69ca19b0e20d,5
13065,e54bb450866048d7b8dd740a6746e554,offer completed,0,f19421c1d4aa40978ebb69ca19b0e20d,5
13088,1ba58dab3cae4787ad26d8d77ab7380f,offer completed,0,f19421c1d4aa40978ebb69ca19b0e20d,5
